A,Code,Name,City,Country,LA1,LA2,LA3,LA4,LO1,LO2,LO3,LO4,Alt,Lat,Long
UTNN,NCU,NUKUS,NUKUS,RUSSIA,042,029,011,N,059,037,021,E,00049,42.486,59.623
UTSB,BHK,BUKHARA,BUKHARA,RUSSIA,039,046,030,N,064,028,048,E,00229,39.775,64.480
UTSM,0000,0000,TAMDY-BULAK,RUSSIA,000,000,000,U,000,000,000,U,00000,0.000,0.000
UTSS,SKD,SAMARKAND,SAMARKAND,RUSSIA,039,042,002,N,066,059,005,E,00678,39.701,66.985
UTST,0000,TERMEZ,TERMEZ,RUSSIA,037,017,011,N,067,018,030,E,00314,37.286,67.308
UTTT,TAS,YUZHNY,TASHKENT,UZBEKISTAN,041,015,026,N,069,016,054,E,00431,41.257,69.282
UUBP,BZK,BRYANSK,BRYANSK,RUSSIA,053,012,051,N,034,010,035,E,00203,53.214,34.176
UUEE,SVO,SHEREMETYEVO,MOSCOW,RUSSIA,055,058,018,N,037,024,054,E,00193,55.972,37.415
UUEM,KLD,MIGALOVO,TVER,RUSSIA,056,049,029,N,035,045,027,E,00143,56.825,35.758
UUOO,VOZ,CHERTOVITSKOYE,VORONEZH,RUSSIA,051,048,051,N,039,013,047,E,00157,51.814,39.230
UUWW,VKO,VNUKOVO,MOSCOW,RUSSIA,055,035,029,N,037,015,041,E,00210,55.591,37.261
UUYH,UCT,0000,UKHTA,RUSSIA,000,000,000,U,000,000,000,U,00000,0.000,0.000
UUYP,0000,0000,PECHORA,RUSSIA,000,000,000,U,000,000,000,U,00000,0.000,0.000
UUYT,0000,0000,UST-KULOM,RUSSIA,000,000,000,U,000,000,000,U,00000,0.000,0.000
UUYW,VKT,0000,VORKUTA,RUSSIA,000,000,000,U,000,000,000,U,00000,0.000,0.000
UUYY,SCW,SYKTYVKAR,SYKTYVKAR,RUSSIA,061,038,051,N,050,050,044,E,00105,61.648,50.846
UWKD,KZN,KAZAN,KAZAN,RUSSIA,055,036,028,N,049,016,038,E,00127,55.608,49.277
UWOO,REN,ORENBURG,ORENBURG,RUSSIA,051,047,044,N,055,027,024,E,00118,51.796,55.457
UWPP,PEZ,PLEASANTON MUNI,PENZA,RUSSIA,028,057,015,N,098,031,011,W,00132,28.954,-98.520
UWUU,UFA,UFA,UFA,RUSSIA,054,033,027,N,055,052,027,E,00137,54.557,55.874
UWWW,KBY,KURUMOCH,SAMARA,RUSSIA,053,030,019,N,050,009,052,E,00146,53.505,50.164
